"_id","date","timeStamp","iot_deviceid","bms_deviceid","bms_temperature_max","bms_temperature_min","bms_pack_capacity","battery_voltage","battery_current","can_communication_flag","battery_soc","battery_soh","cell_voltages","cell_temp","no_of_cells","pack_total_capacity","cell_voltage_difference","charge_discharge_cycles","charge_discharge_status","fet_charge_state","fet_discharge_state","high_voltage_alarm","low_voltage_alarm","charge_over_current_alarm","discharge_over_current_alarm","charge_high_temperature_alarm","charge_low_temperature_alarm","discharge_high_temperature_alarm","discharge_low_temperature_alarm","total_high_pressure_alarm","total_low_pressure_alarm","latitude","longitude","altitude","speed"
"652c3109c15b54eb4ba64860","2023-10-16","00:05:53","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795629","73.781999","","0.00"
"652c3145c15b54eb4ba64862","2023-10-16","00:06:53","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795647","73.781998","","0.00"
"652c3145c15b54eb4ba64864","2023-10-16","00:06:53","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795647","73.781998","","0.00"
"652c3181c15b54eb4ba64866","2023-10-16","00:07:53","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795610","73.781950","","0.00"
"652c3181c15b54eb4ba64868","2023-10-16","00:07:53","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795610","73.781950","","0.00"
"652c31bec15b54eb4ba6486a","2023-10-16","00:08:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795610","73.781950","","0.00"
"652c31bec15b54eb4ba6486c","2023-10-16","00:08:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795610","73.781950","","0.00"
"652c31fac15b54eb4ba6486e","2023-10-16","00:09:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795610","73.781950","","0.00"
"652c31fac15b54eb4ba64870","2023-10-16","00:09:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795610","73.781950","","0.00"
"652c3236c15b54eb4ba64872","2023-10-16","00:10:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795629","73.782011","","0.00"
"652c3236c15b54eb4ba64874","2023-10-16","00:10:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795629","73.782011","","0.00"
